vanilla,cot,fewshot,pw_wo_reasoning,pw_w_reasoning
246,264,244,212,240
222,235,264,291,248
249,244,266,253,246
234,220,264,258,260
220,261,226,236,308
278,244,252,253,252
248,299,210,246,220
260,220,260,262,256
262,232,246,226,240
252,304,220,220,254
260,260,260,240,239
296,260,260,216,272
250,244,252,240,248
246,244,241,234,246
244,260,250,256,220
273,222,242,257,232
250,216,254,250,232
248,238,256,252,260
252,240,250,262,250
235,234,249,246,286
257,210,252,240,284
264,236,266,243,296
259,235,240,247,226
246,228,244,242,252
232,256,255,274,218
240,232,264,250,286
320,284,246,276,230
287,276,262,232,233
248,276,224,230,220
208,273,210,257,252
242,228,231,218,318
250,258,210,298,220
266,234,230,244,268
256,203,256,218,247
244,257,239,260,262
239,256,260,232,295
222,211,250,232,250
234,249,234,268,250
262,238,240,250,296
239,286,268,222,300
280,248,215,272,256
255,279,220,284,228
317,264,206,260,250
229,246,267,240,288
244,246,268,244,279
250,256,220,268,272
304,252,246,248,234
235,250,232,220,276
218,261,252,292,266
308,231,250,220,222
