vanilla,cot,fewshot,pw_wo_reasoning,pw_w_reasoning
1,266,264,278,277
257,303,252,1,457
240,335,221,248,243
236,287,264,273,264
259,292,247,248,243
268,274,234,256,349
248,288,270,315,267
265,222,226,290,289
241,608,235,240,285
235,1,252,280,258
248,299,228,252,189
245,321,224,260,248
262,292,212,298,225
1,222,254,280,248
258,264,237,267,1
284,234,228,249,279
285,262,253,270,270
224,274,256,247,225
249,258,284,286,304
268,258,229,296,332
258,241,249,280,226
244,268,254,273,254
220,283,258,240,260
232,264,266,296,272
246,277,286,256,284
292,243,240,278,269
288,234,255,274,258
251,248,242,320,303
269,283,236,1,247
260,1,235,328,295
233,277,230,275,332
220,256,242,252,482
248,280,266,339,289
246,321,330,289,271
262,254,276,269,275
254,282,270,296,252
266,330,260,440,258
276,255,260,272,268
220,268,205,268,300
238,232,250,268,301
286,300,265,316,253
229,229,264,344,288
1,234,204,1,243
253,289,240,319,263
294,269,219,309,305
1,1,1,284,192
257,259,236,274,254
316,1,274,306,332
282,272,267,316,273
292,276,218,296,266
